City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,llaillay,-32.85,-70.9667,30.14,30,21,3.43,CL,1712770482
322,haverhill,42.7762,-71.0773,18.65,52,20,2.57,US,1712770822
323,acapulco de juarez,16.8634,-99.8901,27.9,74,100,4.63,MX,1712770870
324,puerto armuelles,8.2833,-82.8667,32.99,71,100,1.34,PA,1712770901
325,boundiali,9.5217,-6.4869,29.16,49,92,4.14,CI,1712771022
326,nyurba,63.2842,118.3319,-0.83,89,100,3.65,RU,1712771023
327,gangtok,27.3333,88.6167,15.01,55,45,3.27,IN,1712771023
328,san martin,-33.081,-68.4681,14.3,57,100,7.88,AR,1712771023
329,pailitas,8.9565,-73.6255,39.99,26,24,2.39,CO,1712771023
330,tacna,-18.0056,-70.2483,22.11,60,40,4.12,PE,1712771023
331,praia,14.9215,-23.5087,26.3,50,20,10.29,CV,1712771023
332,guozhen,34.3659,107.359,13.97,65,85,1.14,CN,1712771024
333,kruisfontein,-34.0033,24.7314,14.38,77,99,4.36,ZA,1712771024
334,karratha,-20.7377,116.8463,26.81,50,54,7.22,AU,1712771024
335,lorengau,-2.0226,147.2712,25.84,87,100,2.93,PG,1712771024
336,conduaga,8.862,117.4893,24.82,87,59,1.76,PH,1712771024
337,estevan,49.1334,-102.9842,12.19,47,0,7.72,CA,1712771024
338,hilo,19.7297,-155.09,24.6,92,100,0.0,US,1712771024
339,kuppam,12.75,78.3667,24.54,65,18,2.91,IN,1712771025
340,kailua-kona,19.6406,-155.9956,22.98,84,20,2.06,US,1712770751
341,anna regina,7.2644,-58.5077,30.2,63,33,4.45,GY,1712771025
342,campo grande,-20.4428,-54.6464,30.75,58,75,4.12,BR,1712770832
343,minas de marcona,-15.2119,-75.1103,24.06,55,81,6.35,PE,1712771025
344,homa bay,-0.5273,34.4571,21.21,87,62,2.3,KE,1712771025
345,sur,22.5667,59.5289,28.99,46,59,0.45,OM,1712771026
346,constantia,44.1833,28.65,13.38,73,0,3.11,RO,1712771026
347,tvoroyri,61.5556,-6.8111,6.43,91,100,11.93,FO,1712771026
348,castro,-24.7911,-50.0119,27.31,43,5,3.37,BR,1712770938
349,kuta,-8.7233,115.1723,27.97,88,20,1.03,ID,1712771026
350,velasco ibarra,-1.05,-79.6167,29.08,75,87,2.02,EC,1712771026
351,al wajh,26.2455,36.4525,23.97,35,0,1.54,SA,1712771026
352,howard springs,-12.497,131.047,23.95,76,87,2.66,AU,1712771027
353,cascais,38.6979,-9.4215,23.64,59,0,6.17,PT,1712771027
354,rovaniemi,66.5,25.7167,3.67,93,100,7.72,FI,1712771027
355,cole harbour,44.6724,-63.4751,9.96,54,20,5.14,CA,1712771027
356,ulsteinvik,62.3432,5.8487,7.64,78,100,5.36,NO,1712771027
357,changtu,42.7788,124.0955,11.28,66,99,7.08,CN,1712771027
358,lae,-6.7221,146.9847,24.11,81,99,2.04,PG,1712771028
359,kavaratti,10.5669,72.642,28.86,70,5,3.29,IN,1712771028
360,meadow lake,34.8014,-106.5436,17.04,21,0,4.17,US,1712771028
361,hotan,37.0997,79.9269,17.24,14,58,3.02,CN,1712771028
